,Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
0,The Pirate Bay,None,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,228[5]
1,Rarbg,None,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,330[6]
2,YTS.AM[7],Movies,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,175[8]
3,1337x[9],None,No,Yes,Yes,No,No,Yes,Yes,Yes,No[10],No,253[11]
4,Rutracker [ru][12],None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,262[13]
5,Limetorrents[14],None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"1,266[15]"
6,Torrents.me[16],Search,No,Yes,Yes,No,No,Yes,Yes,No,No,No,"2,264[17]"
7,Zooqle[18],Search,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"2,330[19]"
8,Torrent downloads[20],None,No,Yes,Yes,No,No,No,Yes,No,No,No,"2,421[21]"
9,IPTorrents[22],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"2,460[23]"
10,Demonoid,None,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?,Yes,"3,970[24]"
11,YourBittorrent,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[25],No,"4,131[26]"
12,Torlock[27],None,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[28],?,"4,945[29]"
13,torrentleech.org[30],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"7,803[31]"
14,redacted.ch[32],Music,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"21,129[33]"
15,HDBits[34],Movies,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"25,941[35]"
16,Worldwidetorrents.me[36],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"26,688[37]"
17,ETTV[38],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"31,902[39]"
18,RevolutionTT[40],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"32,860[41]"
19,apollo.rip[42],Music,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"46,738[43]"
20,Waffles[44],Music,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"74,558 [45]"
21,AnimeSuki,Anime & otaku subculture[46],No,Yes[47],Yes,Yes,Yes,No,No,No,?,?,"93,843[48]"
22,etree,Live concerts,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,"97,818[49]"
23,MovieMagnet[50],Movies,No,Yes,Yes,No,Yes,Yes,Yes,No,No,?,"349,627[51]"
24,NyaaV2,"CJK content, especially otaku and anime",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,785[52]
25,Kickass Torrent [53],None,No,Yes,Yes,No,Yes,No,No,No,No,No,"3,738[54]"
26,Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
