,Implementation,brainpoolP256r1(26)[152],brainpoolP384r1(27)[152],brainpoolP512r1(28)[152],X25519[153],Curve448Ed448-Goldilocks[154],M221Curve2213[155],E222[155],Curve1174[155],E382[155],M383[155],Curve383187[155],Curve41417Curve3617[155],M511Curve511187[155],E521[155]
0,Botan,Yes[156],Yes[156],Yes[156],Yes[125],No,No,No,No,No,No,No,No,No,No
1,BoringSSL,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2,GnuTLS,No,No,No,Yes[157],No,No,No,No,No,No,No,No,No,No
3,JSSE,No,No,No,Yes(JDK 13+)[158],No,No,No,No,No,No,No,No,No,No
4,LibreSSL,Yes[42],Yes[42],Yes[42],Yes[159],No,No,No,No,No,No,No,No,No,No
5,MatrixSSL,Yes,Yes,Yes,TLS 1.3 only[160],No,No,No,No,No,No,No,No,No,No
6,mbed TLS,Yes[161],Yes[161],Yes[161],Primitive only[162],Primitive only[163],No,No,No,No,No,No,No,No,No
7,NSS,No[164],No[164],No[164],Yes[165],No,No,No,No,No,No,No,No,No,No
8,OpenSSL,Yes[54],Yes[54],Yes[54],Yes[166][167],Yes[168][169],No,No,No,No,No,No,No,No,No
9,RSA BSAFE,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,"SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10",No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,Secure Transport,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,wolfSSL,Yes,Yes,Yes,Yes[170],No,No,No,No,No,No,No,No,No,No
13,Erlang/OTP SSL application,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
14,Implementation,brainpoolP256r1(26),brainpoolP384r1(27),brainpoolP512r1(28),Curve25519,Curve448Ed448-Goldilocks,M221Curve2213,E222,Curve1174,E382,M383,Curve383187,Curve41417Curve3617,M511Curve511187,E521[155]
