,Country,Name,Initialisms/Acronym,Founded,Terminated,Capabilities of the space agency,Capabilities of the space agency.1,Capabilities of the space agency.2,Capabilities of the space agency.3,Remarks
0,Country,Name,Initialisms/Acronym,Founded,Terminated,Astronauts,Operates Satellites,Sounding Rockets capable,Recoverable Biological Sounding Rockets capable,Remarks
1,Bangladesh,Space Research and Remote Sensing Organization,SPARRSO,1980,—,No,No,No,No,[4]
2,People's Republic of China,China National Space Administration(Chinese: 国家航天局),CNSA,22 April 1993,—,Yes,Yes,Yes,Yes,[5]
3,India,Indian Space Research Organisation(Hindi: भारतीय अंतरिक्ष अनुसंधान संगठन),ISROइसरो,15 August 1969,—,Yes,Yes,Yes,Yes,[6][7][8]
4,Indonesia,Indonesian: Lembaga Antariksa dan Penerbangan Nasional(National Institute of Aeronautics and Space),LAPAN,27 November 1964,—,Yes,Yes,Yes,No,[citation needed]
5,Iran,Iranian Space Agency(Persian: سازمان فضایی ایران‎),ISA,2003,—,No,Yes,Yes,Yes,[9][10][11]
6,Israel,Israeli Space Agency(Hebrew: סוכנות החלל הישראלית‎),"ISAסל""ה",April 1983,—,Yes,Yes,Yes,No,[citation needed]
7,Japan,Japan Aerospace Exploration Agency(Japanese: 宇宙航空研究開発機構),JAXA,1 October 2003,—,Yes,Yes,Yes,Yes,[12][13]
8,Malaysia,Malaysian National Space Agency(Malay: Agensi Angkasa Negara),ANGKASA,2002,—,Yes,Yes,No,No,[14]
9,North Korea,Korean Committee of Space Technology(Korean: 조선우주공간기술위원회),KCST,1980s,2013,No,Yes,Yes,No,[15][16][17]
10,Pakistan,Pakistan Space and Upper Atmosphere Research Commission(Urdu: پاکستان خلائی و بالا فضائی تحقی‍قاتی کمیشن‎),SUPARCOسپارکو,16 September 1961,—,No,Yes,Yes,No,[citation needed]
11,Philippines,Philippine Space Agency,PhilSA,8 August 2019,—,No,Yes,No,No,[18]
12,South Korea,Korea Aerospace Research Institute(Korean: 한국항공우주연구원),KARI,10 October 1989,—,Yes,Yes,Yes,No,[citation needed]
13,Republic of China,National Space Organization(Chinese: 國家太空中心),NSPO,3 October 1991,—,No,Yes,Yes,No,[19]
14,Thailand,Geo-Informatics and Space Technology Development Agency(Thai: สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ),GISTDAสทอภ,3 November 2002,—,No,Yes,No,No,[20]
