,Format,Type,"3GP, 3G2",ASF[27],AVI[A],DMF,EVO,FLV,F4V,MKV[70],"PS, TS[33]",M2TS,MP4,MXF[B],Ogg[b],QTFF[37],RMVB,VOB,WebM[24]
0,VobSub,Picture,No,No,Needs alterations,No,No,No,No,Mature[C],No,As PGS[D],Yes,No,No,Not standard,No,Yes,No
1,DVB-SUB[77],Picture,No,No,No,No,No,No,No,Mature[E],Yes,No,No,Yes[78],No,No,No,No,No
2,PGS[F],Picture,No,No,No,No,HD DVD,No,No,Mature[E],No,Blu-ray,As VobSub[D],No,No,No,No,As VobSub[D],No
3,XSUB,Picture,No,No,Needs alterations[79][80],Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4,Ogg Kate[81],Picture or formatted text,No,No,No,No,No,No,No,Beta,No,No,No,No,Yes,No,No,No,No
5,SMIL,XML,No,No,No,No,No,No,No,No,No,No,No,No,No,QuickTime SMIL,RealText,No,No
6,USF,XML,No,No,Needs alterations,No,No,No,No,Planned,No,No,No,No,No,No,No,No,No
7,TTXT[G],XML,Yes,No,No,No,No,No,Yes[31],No[H],No,No,Yes,No,No,Yes[37],No,No,No
8,SAMI,HTML,No,Yes,Needs alterations,No,No,No,No,No,No,No,No,As SMPTE-TT,No,No,No,No,No
9,SubRip[I],Formatted text,As TTXT[83],As SAMI[J],Needs alterations[64],No,No,No,As TTXT[83],Yes[84],No,No,As TTXT[83],As SMPTE-TT,As Ogg Kate[85],As TTXT[83],No,No,As WebVTT
10,WebVTT,Formatted text,As TTXT[83],No,No,No,No,Using ActionScript[K],As TTXT[83],Yes[87],No,No,Yes[88],As SMPTE-TT,No,As TTXT[83],No,No,Yes
11,"ASS, SSA",Formatted text,No,No,Needs alterations[64],No,No,No,No,Yes[89],No,No,No,As SMPTE-TT,No,No,No,No,No
12,TextST[F],Text stream,No,No,No,No,No,No,No,Beta,No,Yes,No,No,No,No,No,No,No
13,SMPTE-TT[72],Text stream,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
14,Ogg Writ[90],Text stream,No,No,No,No,No,No,No,No,No,No,No,No,Beta[L],No,No,No,No
15,MicroDVD,Plain text,No,No,Needs alterations,No,No,No,No,No,No,No,No,No,As Ogg Writ[L],No,No,No,No
16,Others,Other,—,—,—,—,—,—,—,"Generic bitmap images, generic plain text[46]",CEA-708,—,BIFS,EBU-TT[92],—,EIA-608,—,—,—
17,Obsolete,Other,—,—,—,—,—,—,—,—,—,—,—,—,CMML,—,—,—,—
18,Format,Type,"3GP, 3G2",ASF[27],AVI[A],DMF,EVO,FLV,F4V,MKV[70],"PS, TS[33]",M2TS,MP4,MXF[B],Ogg[b],QTFF[37],RMVB,VOB,WebM[24]
